url,naziv,cijena,lokacija,lat,lng,Kvadrata,Pravih Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija,stanje,balkon,dodatna kvadratura,Namjesten
https://www.olx.ba/artikal/30243228/prostor-prodaje-novogradnja-sarajevo-waves-73m2/,"PROSTOR prodaje: NOVOGRADNJA Sarajevo Waves, 73m2",192119,Ilidza,43.837102,18.298666,73,73,Trosoban (3),Barska,Novogradnja,no info,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/28300431/prostor-prodaje-trosoban-useljiv-stan-otoka/,"PROSTOR prodaje: Trosoban useljiv stan, Otoka",155779,"Sarajevo, Novi Grad",43.851197,18.365281,67,67,Trosoban (3),Radenka Abazovica,Novogradnja,Jug,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/28290382/prostor-prodaje-stan-poslovni-prostor-54m2-dobrinja/,"PROSTOR prodaje: Stan/poslovni prostor 54m2, Dobrinja",81915,"Sarajevo, Novi Grad",43.831712,18.35069,54,54,Dvosoban (2),Želimira Vidovica Kelija,no info,no info,no info,0,0,no info
https://www.olx.ba/artikal/30434685/stan-sarajevo-cengic-vila/,Stan Sarajevo - Cengic Vila,110000,Novo Sarajevo,43.860766,18.396748,55,55,Dvosoban (2),Bulevar Mese Selimovica,no info,no info,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/30450336/stan-sa-divnim-pogledom-nova-breka/,Stan sa divnim pogledom - Nova Breka,160000,Sarajevo - Centar,43.87207,18.419642,59,59,Dvosoban (2),no info,no info,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/30447557/stan-sarajevo-centar/,Stan Sarajevo - Centar,75000,Sarajevo - Centar,43.863967,18.39817,60,60,Dvosoban (2),no info,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/29817300/stan-aleja-lipa/,[ZAVRŠENO] Stan - Aleja lipa,100000,Novo Sarajevo,43.850795,18.383861,46,46,Dvosoban (2),Aleja lipa,no info,Jug,no info,0,0,Namjesten
https://www.olx.ba/artikal/28213752/leader-prodaje-konforan-trosoban-stan-na-otoci/,LEADER prodaje: Konforan trosoban stan na otoci,105000,"Sarajevo, Novi Grad",43.847142,18.36468,77,77,Trosoban (3),Žrtava Fasizma,no info,no info,no info,0,0,Namjesten
https://www.olx.ba/artikal/30428883/renoviran-stan-alipasino-polje/,Renoviran Stan Alipasino Polje,109000,"Sarajevo, Novi Grad",43.842612,18.344848,59,59,Dvosoban (2),no info,no info,no info,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30360495/stan-sarajevo-stari-grad/,Stan Sarajevo-Stari Grad,150000,Stari Grad,43.888591,18.466544,84,84,cetverosoban (4),talirevica 24,1950-1959,Istok,no info,0,0,Namjesten
https://www.olx.ba/artikal/30054016/stan-55m2/,Stan 55m2,93000,Ilidza,43.832258,18.305619,54,54,Dvosoban (2),Emira Bogunica Carlija 24,1960-1969,Ostalo,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/30421231/prostor-prodaje-dvosoban-stan-sa-dvije-lodje-otoka/,"PROSTOR prodaje: Dvosoban stan sa dvije lodje, Otoka",89000,"Sarajevo, Novi Grad",43.847108,18.363768,47,47,Dvosoban (2),Žrtava fasizma,1970-1979,Jug,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/30418762/stan-45m2-kosevsko-brdo-antuna-hangija-centar/,[ZAVRŠENO] Stan 45m2 Kosevsko Brdo/Antuna Hangija/Centar,129000,Sarajevo - Centar,43.864888,18.406569,45,45,Jednoiposoban (1.5),Antuna Hangija,1980-1989,Jugozapad,no info,0,0,Polunamjesten
https://www.olx.ba/artikal/26097954/stan-ciglane/,Stan ciglane,215000,Sarajevo - Centar,43.856259,18.413076,81,81,Trosoban (3),H. Redzica,no info,no info,no info,0,0,no info
https://www.olx.ba/artikal/30409722/stan-54m2-svrakino-selo-dvosoban/,Stan 54m2/ Švrakino selo/Dvosoban,76000,"Sarajevo, Novi Grad",43.842597,18.355947,54,54,Dvosoban (2),Prvomajska,1960-1969,Jugozapad,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/27734175/prostor-prodaje-novogradnja-dvosoban-stan-skenderija/,"PROSTOR prodaje: NOVOGRADNJA Dvosoban stan, Skenderija",170240,Sarajevo - Centar,43.856259,18.413076,53,53,Dvosoban (2),Skenderija,no info,Istok,novogradnja,0,0,no info
https://www.olx.ba/artikal/28128615/novogradnja-breka-prostran-cetverosoban-stan-109m2/,NOVOGRADNJA BREKA! Prostran cetverosoban stan 109m2,269000,Sarajevo - Centar,43.86961,18.417625,109,109,cetverosoban (4),Asima Ferhatovica,2015+,Sjever,novogradnja,0,0,Nenamjesten
https://www.olx.ba/artikal/28326277/prostor-prodaje-trosoban-useljiv-stan-otoka/,"PROSTOR prodaje: Trosoban useljiv stan, Otoka",145061,"Sarajevo, Novi Grad",43.85115,18.365667,63,63,Trosoban (3),Radenka Abazovica,Novogradnja,Zapad,no info,0,0,Nenamjesten
https://www.olx.ba/artikal/29932797/marijin-dvor-2-soban-i-sprat/,"Marijin Dvor,2-soban,I sprat",105000,"Sarajevo, Novi Grad",43.854266,18.364662,40,40,Jednoiposoban (1.5),Odobasina,Prije 1950,Istok,no info,0,0,Namjesten
